1,September,16,Saturday,22
1,September,16,Saturday,22
2,September,16,Saturday,22
2,September,16,Saturday,22
3,September,16,Saturday,22
3,September,16,Saturday,22
3,September,16,Saturday,22
3,September,16,Saturday,22
2,September,16,Saturday,22
2,September,16,Saturday,22
3,September,16,Saturday,22
3,September,16,Saturday,22
4,September,16,Saturday,22
4,September,16,Saturday,22
5,September,16,Saturday,22
5,September,16,Saturday,22
6,September,16,Saturday,22
6,September,16,Saturday,22
2,September,16,Saturday,22
2,September,16,Saturday,22
2,September,16,Saturday,22
2,September,16,Saturday,22
2,September,16,Saturday,22
2,September,16,Saturday,22
2,September,16,Saturday,22
4,September,16,Saturday,22
4,September,16,Saturday,22
