3,September,21,Thursday,16
4,September,21,Thursday,16
3,September,21,Thursday,16
4,September,21,Thursday,16
1,September,21,Thursday,16
11,September,21,Thursday,16
2,September,21,Thursday,16
5,September,21,Thursday,17
5,September,21,Thursday,18
5,September,21,Thursday,18
3,September,21,Thursday,18
2,September,21,Thursday,18
3,September,22,Friday,11
4,September,22,Friday,11
3,September,22,Friday,11
4,September,22,Friday,11
1,September,22,Friday,11
11,September,22,Friday,11
2,September,22,Friday,11
5,September,22,Friday,11
5,September,22,Friday,11
5,September,22,Friday,11
3,September,22,Friday,11
2,September,22,Friday,11
1,September,22,Friday,11
5,September,22,Friday,11
7,September,22,Friday,11
6,September,22,Friday,11
3,September,22,Friday,11
2,September,17,Sunday,12
5,September,17,Sunday,12
2,September,17,Sunday,12
1,September,17,Sunday,12
1,September,17,Sunday,12
,,,,
2,September,17,Sunday,12
4,September,17,Sunday,12
1,September,17,Sunday,12
1,September,17,Sunday,12
5,September,17,Sunday,12
